_Customer_ID,Full_Name,Gen,Age,Address,City,State,PostalCode,Country,Phone,E_Mail,Update_Date,Status,Updated_by
1003,Fran Schwartz,F,55,2100 S. Ocean Ave SW,Palm Bay,FL,32908,US,9546252913,,9/10/16,I,A_Jones
1040,Cindy Hanson,F,35,655 Ox Driv,Woodbury,MN,55122,U.S.A.,(651) 792-1329,mailto:Cindy.Hanson@askasia.org,9/10/16,A,B_Kelly
1056,Gerald Parker,M,51,7140 South Lewis Avenue,,OK,74136,United States,(918) 488-4020,,9/10/16,A,A_Jones
1063,Jane Hartley,F,42,14 East 60th Street,New York,NY,10022,US,(212) 755-0550,<Jane.Hartley@familysearch.org>,9/10/16,Active,SYSTEM
1065,Jerry Sturner,M,61,11900 Parklawn Drive,Rockville,MD,20852,,(301) 881-2720,,9/10/16,Active,A_Jones
1068,Jim Smith,M,45,1008 Avenue Of The Americas,New York,NY,10022,US,(212) 755-2551,<J.Smith@monster.com>,9/10/16,Active,SYSTEM
1069,Joanne Masterson,F,39,45 Erieview Plaza,Cleveland,OH,44114,US,(216) 822-7642,<Joanne.Masterson@java.sun.com>,9/10/16,Active,SYSTEM
1070,Joe Smathers,M,42,2009 Crossgate Drive,Lawrence,KS,66047,US,,mailto:Joe.Smathers@oobject.com,9/10/16,A,A_Jones
1072,Johan Rutzel,M,21,10440 North Central,Dallas,TX,75231,U.S.A.,(972) 583-2312,,9/10/16,A,A_Jones
1075,John Rogers,M,39,107 Washington Street,Gainesville,GA,30501,U.S.,(404) 531-9972,<John.Rogers@adr.com>,9/10/16,Active,SYSTEM
1078,Joseph Sciacca,M,25,18009 Vintage River,Olney,MD,20832,United States,,<Joseph.Sciacca@personalityforge.com>,9/10/16,Active,SYSTEM
1079,Joseph Tass,M,25,PO Box 164,Riverdale,MD,20738,US,301/946-6533,<Joseph.Tass@cbsnews.com>,9/10/16,Active,SYSTEM
1080,Karen Conklin,F,24,10365 SW Hoodview Drive,Tigard,OR,97224,USA,(503) 598-4787,<Karen.Conklin@foodbuzz.com>,9/10/16,Active,SYSTEM
1082,Larry Lindner,M,49,5340 Duke St,Pearl,MS,39208,US,(601) 932-4461,,9/10/16,A,A_Jones
1083,Libby Bender,F,35,2100 Houston Drive,Tulsa,OK,74136,US,(918) 488-4014,,9/10/16,A,A_Jones
1086,Marnell Ford,M,43,5817 Old Leeds Road,Birmingham,AL,35210,,2059569537,,9/10/16,A,A_Jones
1087,Maury Gallagher,M,29,3291 North Buffalo Drive,Las Vegas,NV,89129,US,7023101000,<Maury.Gallagher@break.com>,9/10/16,Active,SYSTEM
